15:25:16.446793 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [S], seq 2646949624, win 64240, options [mss 1460,sackOK,TS val 2314434052 ecr 0,nop,wscale 7], length 0
15:25:16.447277 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [S.], seq 3415000606, ack 2646949625, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
15:25:16.447310 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [.], ack 1, win 502, length 0
15:25:16.506199 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 411:424, ack 6342, win 4101, length 13
15:25:16.506355 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 6342:6642, ack 424, win 502, length 300
15:25:16.506657 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 424:437, ack 6642, win 4100, length 13
15:25:16.506838 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 6642:6921, ack 437, win 502, length 279
15:25:16.507105 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 437:450, ack 6921, win 4106, length 13
15:25:16.508290 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 6921:7245, ack 450, win 502, length 324
15:25:16.508744 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 450:463, ack 7245, win 4104, length 13
15:25:16.509037 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 7245:7521, ack 463, win 502, length 276
15:25:16.509314 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 463:476, ack 7521, win 4103, length 13
15:25:16.509485 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 7521:7816, ack 476, win 502, length 295
15:25:16.509714 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 476:489, ack 7816, win 4102, length 13
15:25:16.509866 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 7816:8096, ack 489, win 502, length 280
15:25:16.510124 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 489:502, ack 8096, win 4101, length 13
15:25:16.510298 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 8096:8375, ack 502, win 502, length 279
15:25:16.510573 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 502:515, ack 8375, win 4100, length 13
15:25:16.510830 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 8375:8670, ack 515, win 502, length 295
15:25:16.511082 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 515:528, ack 8670, win 4106, length 13
15:25:16.511263 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 8670:8948, ack 528, win 502, length 278
15:25:16.511508 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 528:541, ack 8948, win 4105, length 13
15:25:16.511777 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 8948:9244, ack 541, win 502, length 296
15:25:16.512001 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 541:554, ack 9244, win 4104, length 13
15:25:16.512264 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 9244:9542, ack 554, win 502, length 298
15:25:16.512489 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 554:567, ack 9542, win 4102, length 13
15:25:16.512670 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 9542:9821, ack 567, win 502, length 279
15:25:16.512946 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 567:580, ack 9821, win 4101, length 13
15:25:16.513218 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 9821:10100, ack 580, win 502, length 279
15:25:16.513528 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 580:593, ack 10100, win 4100, length 13
15:25:16.513732 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 10100:10398, ack 593, win 502, length 298
15:25:16.513968 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 593:606, ack 10398, win 4106, length 13
15:25:16.514158 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 10398:10697, ack 606, win 502, length 299
15:25:16.514506 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 606:619, ack 10697, win 4105, length 13
15:25:16.514937 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 10697:10995, ack 619, win 502, length 298
15:25:16.515166 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 619:632, ack 10995, win 4103, length 13
15:25:16.515324 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 10995:11300, ack 632, win 502, length 305
15:25:16.515542 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 632:645, ack 11300, win 4102, length 13
15:25:16.515675 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 11300:11579, ack 645, win 502, length 279
15:25:16.515919 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 645:658, ack 11579, win 4101, length 13
15:25:16.516128 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 11579:11878, ack 658, win 502, length 299
15:25:16.516348 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 658:671, ack 11878, win 4106, length 13
15:25:16.516491 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 11878:12157, ack 671, win 502, length 279
15:25:16.516686 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 671:684, ack 12157, win 4105, length 13
15:25:16.516917 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 12157:12458, ack 684, win 502, length 301
15:25:16.517138 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 684:697, ack 12458, win 4103, length 13
15:25:16.517258 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 12458:12785, ack 697, win 502, length 327
15:25:16.517480 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 697:710, ack 12785, win 4102, length 13
15:25:16.517610 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 12785:13063, ack 710, win 502, length 278
15:25:16.517742 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 710:723, ack 13063, win 4101, length 13
15:25:16.517869 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 13063:13357, ack 723, win 502, length 294
15:25:16.518025 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 723:736, ack 13357, win 4106, length 13
15:25:16.518151 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 13357:13637, ack 736, win 502, length 280
15:25:16.518310 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 736:749, ack 13637, win 4105, length 13
15:25:16.518464 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 13637:13933, ack 749, win 502, length 296
15:25:16.518610 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 749:762, ack 13933, win 4104, length 13
15:25:16.518723 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 13933:14213, ack 762, win 502, length 280
15:25:16.518875 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 762:775, ack 14213, win 4102, length 13
15:25:16.519027 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 14213:14509, ack 775, win 502, length 296
15:25:16.519173 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 775:788, ack 14509, win 4101, length 13
15:25:16.519293 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 14509:14807, ack 788, win 502, length 298
15:25:16.519465 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 788:801, ack 14807, win 4100, length 13
15:25:16.519603 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 14807:15103, ack 801, win 502, length 296
15:25:16.519748 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 801:814, ack 15103, win 4106, length 13
15:25:16.519878 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 15103:15399, ack 814, win 502, length 296
15:25:16.520035 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 814:827, ack 15399, win 4105, length 13
15:25:16.520134 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 15399:15695, ack 827, win 502, length 296
15:25:16.520285 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 827:840, ack 15695, win 4103, length 13
15:25:16.520435 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 15695:15975, ack 840, win 502, length 280
15:25:16.520601 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 840:853, ack 15975, win 4102, length 13
15:25:16.520717 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 15975:16255, ack 853, win 502, length 280
15:25:16.520872 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 853:866, ack 16255, win 4101, length 13
15:25:16.520966 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 16255:16535, ack 866, win 502, length 280
15:25:16.521096 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 866:879, ack 16535, win 4100, length 13
15:25:16.521278 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 16535:16834, ack 879, win 502, length 299
15:25:16.521432 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 879:892, ack 16834, win 4106, length 13
15:25:16.521558 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 16834:17114, ack 892, win 502, length 280
15:25:16.521697 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 892:905, ack 17114, win 4105, length 13
15:25:16.521822 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 17114:17413, ack 905, win 502, length 299
15:25:16.521976 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 905:918, ack 17413, win 4103, length 13
15:25:16.522100 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 17413:17715, ack 918, win 502, length 302
15:25:16.522259 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 918:931, ack 17715, win 4102, length 13
15:25:16.522385 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 17715:17996, ack 931, win 502, length 281
15:25:16.522543 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 931:944, ack 17996, win 4101, length 13
15:25:16.522641 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 17996:18299, ack 944, win 502, length 303
15:25:16.522988 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 944:957, ack 18299, win 4106, length 13
15:25:16.523109 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 18299:18602, ack 957, win 502, length 303
15:25:16.523333 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 957:970, ack 18602, win 4105, length 13
15:25:16.523459 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 18602:18883, ack 970, win 502, length 281
15:25:16.523593 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 970:983, ack 18883, win 4103, length 13
15:25:16.523745 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 18883:19182, ack 983, win 502, length 299
15:25:16.523943 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 983:996, ack 19182, win 4102, length 13
15:25:16.524055 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 19182:19481, ack 996, win 502, length 299
15:25:16.524265 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 996:1009, ack 19481, win 4101, length 13
15:25:16.524433 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 19481:19762, ack 1009, win 502, length 281
15:25:16.524571 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1009:1022, ack 19762, win 4106, length 13
15:25:16.524777 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 19762:20043, ack 1022, win 502, length 281
15:25:16.524982 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1022:1035, ack 20043, win 4105, length 13
15:25:16.525143 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 20043:20343, ack 1035, win 502, length 300
15:25:16.525356 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1035:1048, ack 20343, win 4103, length 13
15:25:16.525528 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 20343:20669, ack 1048, win 502, length 326
15:25:16.525659 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1048:1061, ack 20669, win 4102, length 13
15:25:16.525842 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 20669:20947, ack 1061, win 502, length 278
15:25:16.526013 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1061:1074, ack 20947, win 4101, length 13
15:25:16.526197 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 20947:21241, ack 1074, win 502, length 294
15:25:16.526372 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1074:1087, ack 21241, win 4106, length 13
15:25:16.526519 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 21241:21521, ack 1087, win 502, length 280
15:25:16.526685 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1087:1100, ack 21521, win 4105, length 13
15:25:16.526790 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 21521:21817, ack 1100, win 502, length 296
15:25:16.526947 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1100:1113, ack 21817, win 4104, length 13
15:25:16.527076 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 21817:22097, ack 1113, win 502, length 280
15:25:16.527282 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1113:1126, ack 22097, win 4102, length 13
15:25:16.527412 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 22097:22393, ack 1126, win 502, length 296
15:25:16.527538 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1126:1139, ack 22393, win 4101, length 13
15:25:16.527639 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 22393:22691, ack 1139, win 502, length 298
15:25:16.527797 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1139:1152, ack 22691, win 4100, length 13
15:25:16.527969 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 22691:22990, ack 1152, win 502, length 299
15:25:16.528096 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1152:1165, ack 22990, win 4106, length 13
15:25:16.528210 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 22990:23270, ack 1165, win 502, length 280
15:25:16.528385 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1165:1178, ack 23270, win 4105, length 13
15:25:16.528603 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 23270:23551, ack 1178, win 502, length 281
15:25:16.528758 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1178:1191, ack 23551, win 4104, length 13
15:25:16.528883 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 23551:23831, ack 1191, win 502, length 280
15:25:16.529036 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1191:1204, ack 23831, win 4102, length 13
15:25:16.529145 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 23831:24128, ack 1204, win 502, length 297
15:25:16.529295 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1204:1217, ack 24128, win 4101, length 13
15:25:16.529421 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 24128:24433, ack 1217, win 502, length 305
15:25:16.529549 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1217:1230, ack 24433, win 4100, length 13
15:25:16.529663 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 24433:24730, ack 1230, win 502, length 297
15:25:16.529815 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1230:1243, ack 24730, win 4106, length 13
15:25:16.529947 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 24730:25010, ack 1243, win 502, length 280
15:25:16.530085 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1243:1256, ack 25010, win 4105, length 13
15:25:16.530197 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 25010:25309, ack 1256, win 502, length 299
15:25:16.530352 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1256:1269, ack 25309, win 4103, length 13
15:25:16.530475 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 25309:25607, ack 1269, win 502, length 298
15:25:16.530604 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1269:1282, ack 25607, win 4102, length 13
15:25:16.530704 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 25607:25905, ack 1282, win 502, length 298
15:25:16.530857 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1282:1295, ack 25905, win 4101, length 13
15:25:16.531000 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 25905:26203, ack 1295, win 502, length 298
15:25:16.531137 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1295:1308, ack 26203, win 4106, length 13
15:25:16.531263 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 26203:26502, ack 1308, win 502, length 299
15:25:16.531420 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1308:1321, ack 26502, win 4105, length 13
15:25:16.531543 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 26502:26807, ack 1321, win 502, length 305
15:25:16.531708 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1321:1334, ack 26807, win 4103, length 13
15:25:16.531831 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 26807:27104, ack 1334, win 502, length 297
15:25:16.531987 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1334:1347, ack 27104, win 4102, length 13
15:25:16.532086 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 27104:27409, ack 1347, win 502, length 305
15:25:16.532243 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1347:1360, ack 27409, win 4101, length 13
15:25:16.532370 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 27409:27690, ack 1360, win 502, length 281
15:25:16.532527 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1360:1373, ack 27690, win 4106, length 13
15:25:16.532641 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 27690:27998, ack 1373, win 502, length 308
15:25:16.532774 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1373:1386, ack 27998, win 4105, length 13
15:25:16.533344 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 27998:28009, ack 1386, win 502, length 11
15:25:16.568915 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1386:1397, ack 28009, win 4105, length 11
